iter	Passed	Remaining
406	7319	172525
407	7336	172469
408	7354	172460
409	7374	172500
410	7391	172454
411	7407	172397
412	7425	172361
413	7441	172307
414	7457	172249
415	7474	172204
416	7491	172149
417	7507	172105
418	7525	172074
419	7541	172019
420	7558	171972
421	7574	171918
422	7591	171867
423	7607	171821
424	7624	171783
425	7641	171736
426	7658	171688
427	7674	171633
428	7690	171580
429	7707	171535
430	7724	171492
431	7740	171443
432	7757	171395
433	7773	171341
434	7789	171286
435	7807	171262
436	7824	171226
437	7840	171170
438	7857	171125
439	7873	171077
440	7890	171030
441	7907	170988
442	7923	170937
443	7939	170887
444	7956	170851
445	7973	170806
446	7990	170770
447	8007	170725
448	8024	170689
449	8040	170645
450	8057	170603
451	8074	170555
452	8090	170507
453	8107	170462
454	8123	170411
455	8140	170373
456	8156	170326
457	8173	170277
458	8189	170228
459	8206	170186
460	8222	170140
461	8239	170107
462	8255	170058
463	8272	170013
464	8289	169971
465	8305	169934
466	8321	169876
467	8338	169833
468	8354	169789
469	8371	169745
470	8387	169695
471	8404	169649
472	8421	169617
473	8438	169594
474	8456	169579
475	8474	169561
476	8492	169549
477	8511	169548
478	8529	169539
479	8546	169506
480	8563	169467
481	8580	169432
482	8597	169400
483	8613	169355
484	8630	169309
485	8647	169278
486	8663	169234
487	8680	169193
488	8697	169160
489	8713	169120
490	8730	169079
491	8746	169037
492	8763	168991
493	8779	168951
494	8796	168903
495	8812	168850
496	8828	168803
497	8845	168778
498	8862	168735
499	8878	168696
500	8895	168652
501	8911	168612
502	8928	168569
503	8944	168532
504	8961	168491
505	8978	168458
506	8995	168422
507	9012	168392
508	9029	168361
509	9045	168322
510	9062	168279
511	9078	168237
512	9094	168186
513	9111	168151
514	9127	168112
515	9144	168070
516	9160	168031
517	9177	167987
518	9193	167952
519	9210	167911
520	9227	167875
521	9243	167841
522	9260	167796
523	9276	167758
524	9292	167714
525	9309	167680
526	9326	167640
527	9342	167605
528	9359	167569
529	9376	167529
530	9392	167496
531	9409	167454
532	9425	167414
533	9442	167383
534	9460	167363
535	9476	167320
536	9492	167283
537	9509	167244
538	9526	167209
539	9542	167176
540	9561	167183
541	9579	167170
542	9596	167132
543	9612	167094
544	9629	167060
545	9646	167024
546	9662	166983
547	9679	166954
548	9696	166919
549	9712	166883
550	9729	166848
551	9746	166816
552	9762	166781
553	9779	166743
554	9796	166709
555	9812	166670
556	9828	166627
557	9845	166592
558	9861	166550
559	9877	166512
560	9894	166485
561	9911	166447
562	9928	166413
563	9945	166401
564	9962	166367
565	9980	166349
566	9996	166316
567	10014	166290
568	10032	166277
569	10048	166241
570	10064	166199
571	10081	166166
572	10097	166129
573	10114	166090
574	10131	166061
575	10148	166044
576	10165	166008
577	10182	165983
578	10199	165956
579	10216	165934
580	10234	165922
581	10251	165883
582	10267	165855
583	10284	165823
584	10301	165788
585	10317	165751
586	10334	165721
587	10350	165675
588	10367	165645
589	10383	165612
590	10400	165580
591	10416	165543
592	10433	165518
593	10450	165486
594	10467	165450
595	10483	165419
596	10500	165384
597	10517	165356
598	10534	165333
599	10551	165306
600	10568	165276
601	10584	165242
602	10601	165211
603	10617	165170
604	10634	165141
605	10654	165168
606	10671	165141
607	10688	165107
608	10705	165077
609	10722	165049
610	10738	165014
611	10755	164994
612	10776	165015
613	10793	164989
614	10809	164957
615	10826	164924
616	10842	164887
617	10859	164861
618	10876	164837
619	10894	164815
620	10913	164829
621	10930	164795
622	10946	164763
623	10963	164727
624	10980	164706
625	10996	164673
626	11013	164641
627	11029	164606
628	11046	164570
