iter	Passed	Remaining
402	12217	2940
403	12251	2911
404	12286	2882
405	12322	2852
406	12357	2823
407	12394	2794
408	12429	2765
409	12464	2736
410	12499	2706
411	12535	2677
412	12570	2647
413	12605	2618
414	12639	2588
415	12675	2559
416	12711	2530
417	12746	2500
418	12782	2471
419	12817	2441
420	12852	2411
421	12886	2381
422	12920	2351
423	12954	2322
424	12989	2292
425	13024	2262
426	13059	2232
427	13094	2202
428	13130	2173
429	13165	2143
430	13200	2113
431	13236	2083
432	13270	2053
433	13307	2023
434	13341	1993
435	13377	1963
436	13417	1934
437	13454	1904
438	13490	1874
439	13526	1844
440	13561	1814
441	13598	1784
442	13633	1754
443	13668	1723
444	13702	1693
445	13738	1663
446	13774	1633
447	13809	1602
448	13844	1572
449	13879	1542
450	13916	1511
451	13951	1481
452	13986	1451
453	14020	1420
454	14055	1390
455	14090	1359
456	14126	1329
457	14161	1298
458	14195	1268
459	14230	1237
460	14264	1206
461	14299	1176
462	14337	1145
463	14345	1113
464	14380	1082
465	14415	1051
466	14423	1019
467	14458	988
468	14493	957
469	14528	927
470	14536	895
471	14571	864
472	14605	833
473	14641	803
474	14675	772
475	14710	741
476	14746	711
477	14752	678
478	14787	648
479	14794	616
480	14830	585
481	14866	555
482	14873	523
483	14880	491
484	14916	461
485	14951	430
486	14985	400
487	15020	369
488	15055	338
489	15089	307
490	15124	277
491	15157	246
492	15163	215
493	15196	184
494	15202	153
495	15238	122
496	15243	92
497	15278	61
498	15284	30
499	15320	0
