iter	Logloss
463	0.07876264395
464	0.07870436796
465	0.07859131215
466	0.07844851477
467	0.07837969273
468	0.07833060983
469	0.07813852979
470	0.07795082777
471	0.07763683602
472	0.07750643446
473	0.07734012944
474	0.07728045298
475	0.0769894887
476	0.07674101005
477	0.07658545485
478	0.07630165137
479	0.07628094769
480	0.07613534273
481	0.07603669897
482	0.07589676433
483	0.07576345985
484	0.07559488305
485	0.0752404825
486	0.07511588834
487	0.07496204389
488	0.07476351591
489	0.07470031668
490	0.07455254383
491	0.07448349409
492	0.07448348986
493	0.07441817579
494	0.07439930738
495	0.07429326244
496	0.07426678037
497	0.07415066018
498	0.07413402528
499	0.07412009077
0165969
497	0.06868740793
498	0.06866423326
499	0.06865761953
6
499	0.06278757591
